Name,Address,City,Long,Lat,FACILITY_T,SHELTER_TY,Year_Built,Building,Risk_Capac,Risk_Squar
Bayside HS,1901 DeGroodt Rd SW,Palm Bay,-80.67601797,27.95104698,SHELTER,RISK,2008,9 Auditorium,470,9401
Hans Christian Andersen ES,3011 S Fiske Blvd,Rockledge,-80.74414298,28.30920001,SHELTER,RISK,1990,3 Classroom,355,7103
John F. Turner Sr. ES,3175 Jupiter Blvd SE,Palm Bay,-80.66043277,27.98746686,SHELTER,RISK,2003,2 Classroom,244,4878
Palm Bay Community Center,1951 NW Malabar Rd,Palm Bay,-80.7310345,27.99901984,SHELTER,RISK,2005,Main,484,9675
Suntree ES,900 Pinehurst Ave,Melbourne,-80.68944397,28.24495152,SHELTER,RISK,1991,3 Classroom,280,5601
Riviera ES,351 Riviera Dr NE,Palm Bay,-80.64328203,28.029572,SHELTER,RISK,1989,6 Cafeteria,229,4575
Atlantis ES,7300 Briggs Ave,Port St John,-80.79469781,28.48736336,SHELTER,RISK,1989,1 Admin / Media,63,1259
Meadowlane Intermediate ES,2700 Wingate Blvd,Melbourne,-80.664274,28.06240798,SHELTER,RISK,2007,1 Classroom 1st and 2nd Floor,2288,45763
Enterprise ES,7000 Enterprise Rd,Port St. John,-80.82356743,28.47554708,SHELTER,RISK,1994,2 Classroom / Music,189,3773
Manatee ES,3425 Viera Blvd,Viera,-80.744549,28.26308801,SHELTER,RISK,2003,4 Classroom,217,4338
Heritage HS,2353 W Malabar Rd,Palm Bay,-80.75432896,27.99409662,SHELTER,RISK,2009,2 Auditorium,795,15901
Space Coast Jr/Sr HS,6150 Banyan St,Port St. John,-80.82718967,28.47554023,SHELTER,RISK,1994,4 Cafeteria / Classroom,937,18748
Mims ES,2582 US 1,Mims,-80.84653969,28.66864812,SHELTER,RISK,2003,13 Classroom,342,6848
Discovery ES,1275 Glendale Ave NW,Palm Bay,-80.71874598,28.02940902,SHELTER,RISK,1988,4 Classroom,302,6043
Bayside HS,1901 DeGroodt Rd SW,Palm Bay,-80.67601797,27.95104698,SHELTER,RISK,1997,6 Classroom / Art,1570,31391
Imperial Estates ES,5525 Kathy Dr,Titusville,-80.81349703,28.541038,SHELTER,RISK,1994,7 Cafeteria / Music,136,2713
Enterprise ES,7000 Enterprise Rd,Port St. John,-80.82356743,28.47554708,SHELTER,RISK,1994,3 Classroom,285,5706
Westside ES,2175 DeGroodt Rd SW,Palm Bay,-80.67588793,27.94465997,SHELTER,RISK,2005,4,246,4924
Bayside HS,1901 DeGroodt Rd SW,Palm Bay,-80.67601797,27.95104698,SHELTER,RISK,1999,7 Classroom,1001,20028
Jupiter ES,950 Tupelo Road SW,Palm Bay,-80.69765803,27.98691801,SHELTER,RISK,1991,5 Classroom,341,6812
Discovery ES,1275 Glendale Ave NW,Palm Bay,-80.71874598,28.02940902,SHELTER,RISK,1988,5 Classroom,347,6942
Atlantis ES,7300 Briggs Ave,Port St John,-80.79469781,28.48736336,SHELTER,RISK,1989,6 Cafeteria,225,4492
Viera HS,6103 Stadium Pkwy,Viera,-80.73595001,28.252285,SHELTER,RISK,2005,2 Gym,1077,21530
Sherwood ES,2541 Post Rd,Melbourne,-80.66430703,28.17089198,SHELTER,RISK,1997,1 Main,1888,37763
Riviera ES,351 Riviera Dr NE,Palm Bay,-80.64328203,28.029572,SHELTER,RISK,1989,4 Classroom,234,4672
Viera HS,6103 Stadium Pkwy,Viera,-80.73595001,28.252285,SHELTER,RISK,2005,3 Classroom,974,19472
Bayside HS,1901 DeGroodt Rd SW,Palm Bay,-80.67601797,27.95104698,SHELTER,RISK,2008,8 Classroom,279,5587
Meadowlane Primary ES,2800 Wingate Blvd,Melbourne,-80.66685852,28.06106061,SHELTER,RISK,1994,5 Classroom,376,7523
Space Coast Jr/Sr HS,6150 Banyan St,Port St. John,-80.82718967,28.47554023,SHELTER,RISK,2004,11 Music,307,6147
Hans Christian Andersen ES,3011 S Fiske Blvd,Rockledge,-80.74414298,28.30920001,SHELTER,RISK,1990,2 Classroom,119,2387
Riviera ES,351 Riviera Dr NE,Palm Bay,-80.64328203,28.029572,SHELTER,RISK,1989,5 Classroom,368,7368
Enterprise ES,7000 Enterprise Rd,Port St. John,-80.82356743,28.47554708,SHELTER,RISK,1994,4 Classroom,269,5388
Heritage HS,2353 W Malabar Rd,Palm Bay,-80.75432896,27.99409662,SHELTER,RISK,2009,6 Classroom,916,18315
Jupiter ES,950 Tupelo Road SW,Palm Bay,-80.69765803,27.98691801,SHELTER,RISK,1991,2 Classroom / Music,186,3714
Bayside HS,1901 DeGroodt Rd SW,Palm Bay,-80.67601797,27.95104698,SHELTER,RISK,1997,4 Gym,992,19842
